Comment,Designator,Footprint, LCSC, Package
10μF,C1,Capacitor_SMD:C_0805_2012Metric,C15850,805
470pF,"C14,C15,C16,C17",Capacitor_SMD:C_0402_1005Metric,C92361,402
0.1μF,"C4,C2,C3,C5,C13,C7,C8,C9,C10,C11,C12",Capacitor_SMD:C_0402_1005Metric,C1525,402
1μF,C6,Capacitor_SMD:C_0402_1005Metric,C29266,402
US1K-13-F,D1,Diode_SMD:D_SMA,C110532,"SMA,DO-214AC"
11-21/BHC-AQ2S1M/2T,"D12,D13,D22,D23",LED_SMD:LED_1206_3216Metric,C264323,LED_1206
19-217/GHC-YR1S2/3T,"D3,D2",LED_SMD:LED_0603_1608Metric,C72043,LED_0603
B160-13-F,"D6,D5,D4,D10,D9,D8,D16,D15,D14,D20,D19,D18",Diode_SMD:D_SMA,C24784,"SMA,DO-214AC"
19-213/Y2C-CQ2R2L/3T,D7,LED_SMD:LED_0603_1608Metric,C72038,LED_0603
PJ-102AH,J1,Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal,,
2x20 Male Header,J2,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,,
Pheonix 1841539,"L1,L2,L3,L4",SamacSys_Parts:1841539,,
UA7805CKCT,Q1,Package_TO_SOT_THT:TO-220-3_Vertical,,TO-220-3
ULN2803ADWR,"Q2,Q3,Q4,Q5",Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm,C9683,SOIC-18_7.5x11.5x1.27P
432Ω,R1,Resistor_SMD:R_1206_3216Metric,C247258,1206
14KΩ,"R10,R11,R18,R19",Resistor_SMD:R_0805_2012Metric,C17464,805
10KΩ,"R13,R17,R2,R12,R16",Resistor_SMD:R_0402_1005Metric,C25744,402
100Ω,"R20,R21,R24,R25",Resistor_SMD:R_2512_6332Metric,C35218,2512
432Ω,"R28,R22,R23,R26,R27",Resistor_SMD:R_0805_2012Metric,C17694,805
85Ω,R3,Resistor_SMD:R_0805_2012Metric,C17843,805
1MΩ,"R4,R7,R6,R5",Resistor_SMD:R_0402_1005Metric,C26083,402
10KΩ,"R8,R9,R14,R15",Resistor_SMD:R_0805_2012Metric,C38522,805
AD5254,U1,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,C207501,TSSOP-20_4.4x6.5x0.65P
ADS1015IDGSR,U2,Package_SO:VSSOP-10_3x3mm_P0.5mm,C193969,VSSOP-10_3.0x3.0x0.5P
LM324DR,"U3,U4",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C7943,SOIC-14_3.9x8.7x1.27P
MMBF170LT1G,"U6,U5",Package_TO_SOT_SMD:SOT-23,C28871,SOT-23-3
MCP23017-E/SO,"U7,U8",footprints:SOIC127P1030X265-28N,C47023,SOIC-28_300mil
