Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10μF,C_0805_2012Metric,172.3875,-51.054,0,top
C2,0.1μF,C_0402_1005Metric,145.161,-70.104,0,top
C3,0.1μF,C_0402_1005Metric,179.07,-60.706,0,top
C4,0.1μF,C_0402_1005Metric,123.5985,-87.3125,0,top
C5,0.1μF,C_0402_1005Metric,156.1465,-87.3125,180,top
C6,1μF,C_0402_1005Metric,177.2285,-63.246,270,top
C7,0.1μF,C_0402_1005Metric,149.606,-55.245,90,top
C8,0.1μF,C_0402_1005Metric,170.561,-69.215,180,top
C9,0.1μF,C_0402_1005Metric,168.402,-81.661,270,top
C10,0.1μF,C_0402_1005Metric,121.412,-55.118,90,top
C11,0.1μF,C_0402_1005Metric,110.871,-70.485,180,top
C12,0.1μF,C_0402_1005Metric,108.458,-80.645,0,top
C13,0.1μF,C_0402_1005Metric,144.2085,-73.8505,270,top
C14,470pF,C_0402_1005Metric,178.4985,-87.503,90,top
C15,470pF,C_0402_1005Metric,116.1415,-87.249,90,top
C16,470pF,C_0402_1005Metric,163.322,-87.503,90,top
C17,470pF,C_0402_1005Metric,100.6475,-87.376,90,top
D1,US1K-13-F,D_SMA,170.18,-46.482,0,top
D2,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,187.452,-63.246,0,top
D3,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,187.452,-65.786,0,top
D4,B160-13-F,D_SMA,91.842846,-38.688269,90,top
D5,B160-13-F,D_SMA,98.363846,-38.751769,90,top
D6,B160-13-F,D_SMA,111.596346,-38.688269,90,top
D7,19-213/Y2C-CQ2R2L/3T,LED_0603_1608Metric,143.3195,-44.2595,0,top
D8,B160-13-F,D_SMA,105.011846,-47.821769,90,top
D9,B160-13-F,D_SMA,105.011846,-38.751769,90,top
D10,B160-13-F,D_SMA,98.363846,-47.821769,90,top
D12,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,174.752,-121.92,0,top
D13,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,149.352,-121.92,0,top
D14,B160-13-F,D_SMA,111.596346,-47.821769,90,top
D15,B160-13-F,D_SMA,111.596346,-56.891769,90,top
D16,B160-13-F,D_SMA,91.842846,-47.821769,90,top
D18,B160-13-F,D_SMA,98.363846,-56.891769,90,top
D19,B160-13-F,D_SMA,105.011846,-56.891769,90,top
D20,B160-13-F,D_SMA,91.842846,-56.891769,90,top
D22,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,123.066,-121.92,0,top
D23,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,96.39,-121.92,0,top
Q2,ULN2803ADWR,SOIC-18W_7.5x11.6mm_P1.27mm,178.562,-75.692,180,top
Q3,ULN2803ADWR,SOIC-18W_7.5x11.6mm_P1.27mm,161.163,-75.692,0,top
Q4,ULN2803ADWR,SOIC-18W_7.5x11.6mm_P1.27mm,118.237,-75.565,180,top
Q5,ULN2803ADWR,SOIC-18W_7.5x11.6mm_P1.27mm,100.965,-75.565,0,top
R1,432Ω,R_1206_3216Metric,182.372,-63.119,180,top
R2,10KΩ,R_0402_1005Metric,135.382,-69.596,0,top
R3,85Ω,R_0805_2012Metric,181.61,-66.294,180,top
R4,1MΩ,R_0402_1005Metric,124.206,-84.074,270,top
R5,1MΩ,R_0402_1005Metric,124.206,-90.424,90,top
R6,1MΩ,R_0402_1005Metric,134.239,-90.4875,90,top
R7,1MΩ,R_0402_1005Metric,134.239,-84.1375,270,top
R8,10KΩ,R_0805_2012Metric,176.276,-84.836,90,top
R9,10KΩ,R_0805_2012Metric,113.6015,-84.6455,90,top
R10,14KΩ,R_0805_2012Metric,176.276,-89.2175,90,top
R11,14KΩ,R_0805_2012Metric,113.6015,-88.9635,90,top
R12,10KΩ,R_0402_1005Metric,172.72,-61.722,270,top
R13,10KΩ,R_0402_1005Metric,175.133,-59.436,270,top
R14,10KΩ,R_0805_2012Metric,161.29,-84.836,90,top
R15,10KΩ,R_0805_2012Metric,98.044,-84.709,90,top
R16,10KΩ,R_0402_1005Metric,170.688,-53.975,90,top
R17,10KΩ,R_0402_1005Metric,168.148,-53.975,90,top
R18,14KΩ,R_0805_2012Metric,161.29,-89.169,90,top
R19,14KΩ,R_0805_2012Metric,98.044,-89.027,90,top
R20,100Ω,R_2512_6332Metric,182.0545,-86.9315,270,top
R21,100Ω,R_2512_6332Metric,166.5605,-86.9315,270,top
R22,432Ω,R_0805_2012Metric,173.4185,-86.36,270,top
R23,432Ω,R_0805_2012Metric,158.6865,-87.376,270,top
R24,100Ω,R_2512_6332Metric,119.4435,-86.868,270,top
R25,100Ω,R_2512_6332Metric,103.8225,-86.868,270,top
R26,432Ω,R_0805_2012Metric,110.9345,-87.0585,270,top
R27,432Ω,R_0805_2012Metric,95.3135,-86.868,270,top
R28,432Ω,R_0805_2012Metric,139.3825,-44.323,180,top
U1,AD5254,TSSOP-20_4.4x6.5mm_P0.65mm,139.954,-78.867,0,top
U2,ADS1015IDGSR,VSSOP-10_3x3mm_P0.5mm,139.954,-70.104,0,top
U3,LM324DR,SOIC-14_3.9x8.7mm_P1.27mm,129.286,-87.3125,0,top
U4,LM324DR,SOIC-14_3.9x8.7mm_P1.27mm,150.3045,-87.3125,180,top
U5,MMBF170LT1G,SOT-23,171.069,-57.023,180,top
U6,MMBF170LT1G,SOT-23,179.451,-57.023,180,top
