Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10μF,C_0805_2012Metric,172.8216,-50.8508,0,top
C2,0.1μF,C_0402_1005Metric,148.209,-59.1185,0,top
C3,0.1μF,C_0402_1005Metric,183.5404,-55.6768,90,top
C4,0.1μF,C_0402_1005Metric,123.5985,-87.3125,0,top
C5,0.1μF,C_0402_1005Metric,148.1836,-68.6816,0,top
C6,1μF,C_0603_1608Metric,181.0512,-55.7276,90,top
C7,0.1μF,C_0402_1005Metric,149.606,-55.245,90,top
C8,0.1μF,C_0402_1005Metric,170.561,-69.215,180,top
C9,0.1μF,C_0402_1005Metric,168.402,-81.661,270,top
C10,0.1μF,C_0402_1005Metric,121.412,-55.118,90,top
C11,0.1μF,C_0402_1005Metric,110.871,-70.485,180,top
C12,0.1μF,C_0402_1005Metric,108.458,-80.645,0,top
C13,3.9pF,C_0402_1005Metric,123.7615,-82.6135,0,top
C14,3.9pF,C_0402_1005Metric,123.9012,-91.1352,180,top
C15,3.9pF,C_0402_1005Metric,135.636,-88.011,180,top
C16,3.9pF,C_0402_1005Metric,134.747,-81.407,0,top
D3,19-217/GHC-YR1S2/3T,LED_0603_1608Metric,188.468,-77.978,90,top
D4,B160-13-F,D_SMA,91.842846,-38.688269,90,top
D5,B160-13-F,D_SMA,98.363846,-38.751769,90,top
D6,B160-13-F,D_SMA,111.596346,-38.688269,90,top
D7,19-213/Y2C-CQ2R2L/3T,LED_0603_1608Metric,188.468,-71.882,90,top
D8,B160-13-F,D_SMA,105.011846,-47.821769,90,top
D9,B160-13-F,D_SMA,105.011846,-38.751769,90,top
D10,B160-13-F,D_SMA,98.363846,-47.821769,90,top
D11,B160-13-F,D_SMA,150.495,-85.4075,0,top
D12,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,174.752,-121.92,0,top
D13,11-21/BHC-AQ2S1M/2T,LED_1206_3216Metric,149.352,-121.92,0,top
