Comment,Designator,Footprint, LCSC
10μF,C1,805,C15850
10pF,"C13,C14,C15,C16",402,C32949
0.1μF,"C4,C2,C3,C5,C17,C18,C19,C20,C21,C7,C8,C9,C10,C11,C12",402,C1525
1μF,C6,603,C5673
MUR480ERLG,D1,"SMA,DO-214AC",
11-21/BHC-AQ2S1M/2T,"D12,D13,D22,D23",LED_1206,C264323
19-217/GHC-YR1S2/3T,D3,LED_0603,C72043
B160-13-F,"D6,D5,D4,D10,D9,D8,D11,D17,D16,D15,D14,D20,D19,D18,D21,D24","SMA,DO-214AC",C24784
19-213/Y2C-CQ2R2L/3T,D7,LED_0603,C72038
PJ-102AH,J1,,
2x20 Male Header,J2,,
1725669,J3,,
Pheonix 1841539,"L1,L2,L3,L4",,
UA7805CKCT,Q1,TO-220-3,
ULN2803ADWR,"Q2,Q3,Q4,Q5",SOIC-18_7.5x11.5x1.27P,C9683
DMN6140LQ-7,"Q6,Q7,Q12,Q8,Q9,Q10,Q11",SOT-23-3,C155271
33KΩ,"R1,R19,R29,R30",402,C25779
10KΩ,"R13,R17,R2,R12,R16,R8,R31,R9,R10,R11,R14",402,C25744
4.7KΩ,"R15,R18",402,C25900
50Ω,"R20,R21,R24,R25",2512,C25487
80Ω,"R28,R22,R23,R26,R27",805,C17833
169Ω,R3,805,C17489
499KΩ,"R4,R7,R6,R5",402,C25793
PCA9685PW,U1,TSSOP-28,C92206
ADS1115IDGSR,U2,MSOP-10_3.0x3.0x0.5P,C37593
TLV4314IPWR,"U3,U4",TSSOP-14,C106874
MCP23017-E/SO,"U7,U8",SOIC-28_300mil,C47023
