Comment,Designator,Footprint, LCSC
10μF,C1,805,C15850
3.9pF,"C13,C14,C15,C16",402,C48151
0.1μF,"C4,C2,C3,C5,C7,C8,C9,C10,C11,C12",402,C1525
1μF,C6,603,C5673
MUR480ERLG,D1,,
11-21/BHC-AQ2S1M/2T,"D12,D13,D22,D23",LED_1206,C264323
19-217/GHC-YR1S2/3T,D3,LED_0603,C72043
B160-13-F,"D6,D5,D4,D10,D9,D8,D11,D17,D16,D15,D14,D20,D19,D18,D21,D24","SMA,DO-214AC",C24784
19-213/Y2C-CQ2R2L/3T,D7,LED_0603,C72038
PJ-102AH,J1,,
2x20 Male Header,J2,,
1725669,J3,,
Pheonix 1841539,"L1,L2,L3,L4",,
UA7805CKCT,Q1,TO-220-3,
ULN2803ADWR,"Q2,Q3,Q4,Q5",SOIC-18_7.5x11.5x1.27P,C9683
DMN10H220L-7,"Q6,Q7,Q12,Q8,Q9,Q10,Q11",SOT-23-3,C102615
10KΩ,"R13,R17,R2,R12,R16,R8,R9,R10,R11,R14",1206,C25744
4.7kΩ,"R15,R18",402,C25900
100Ω,"R20,R21,R24,R25",2512,C35218
432Ω,"R28,R22,R23,R26,R27",805,C17694
169Ω,R3,805,C17489
1MΩ,"R4,R7,R6,R5",402,C26083
PCA9685PW,U1,TSSOP-28,C92206
ADS1115IDGSR,U2,MSOP-10_3.0x3.0x0.5P,C37593
LM324DR,U3,SOIC-14_3.9x8.7x1.27P,C7943
MCP23017-E/SO,"U7,U8",SOIC-28_300mil,C47023
